# track_id_origen;track_id_destino;peso
7DbdUf8aHSYoliSjO6LZv6;5wANPM4fQCJwkGd4rN57mH;1.000
7DbdUf8aHSYoliSjO6LZv6;5O2P9iiztwhomNh8xkR9lJ;1.000
7DbdUf8aHSYoliSjO6LZv6;0kTMK4gNFfLXaTb62w1UaJ;1.000
7DbdUf8aHSYoliSjO6LZv6;5fhcuVxuBWfgNXGuyAtLmr;1.000
7DbdUf8aHSYoliSjO6LZv6;0WtM2NBVQNNJLh6scP13H8;1.000
7DbdUf8aHSYoliSjO6LZv6;4cG7HUWYHBV6R6tHn1gxrl;1.000
7DbdUf8aHSYoliSjO6LZv6;2eAvDnpXP5W0cVtiI0PUxV;1.000
7DbdUf8aHSYoliSjO6LZv6;45bE4HXI0AwGZXfZtMp8JR;1.000
7DbdUf8aHSYoliSjO6LZv6;5HCyWlXZPP0y6Gqq8TgA20;1.000
7DbdUf8aHSYoliSjO6LZv6;2374M0fQpWi3dLnB54qaLX;1.000
7DbdUf8aHSYoliSjO6LZv6;4HlFJV71xXKIGcU3kRyttv;1.000
7DbdUf8aHSYoliSjO6LZv6;1KIJclzEbNhSVw8tiHPWwE;1.000
7DbdUf8aHSYoliSjO6LZv6;2vWBUC9djv6BtiGlmKiQaH;1.000
7DbdUf8aHSYoliSjO6LZv6;4cacyP5c3PMlfnyjpg13xW;1.000
7DbdUf8aHSYoliSjO6LZv6;6GomT970rCOkKAyyrwJeZi;1.000
1ei3hzQmrgealgRKFxIcWn;1xzi1Jcr7mEi9K2RfzLOqS;1.000
1ei3hzQmrgealgRKFxIcWn;2tTmW7RDtMQtBk7m2rYeSw;1.000
1ei3hzQmrgealgRKFxIcWn;2GiJYvgVaD2HtM8GqD9EgQ;1.000
1ei3hzQmrgealgRKFxIcWn;6Z8R6UsFuGXGtiIxiD8ISb;1.000
1ei3hzQmrgealgRKFxIcWn;5IgjP7X4th6nMNDh4akUHb;1.000
1ei3hzQmrgealgRKFxIcWn;4xqrdfXkTW4T0RauPLv3WA;1.000
1ei3hzQmrgealgRKFxIcWn;3F5CgOj3wFlRv51JsHbxhe;1.000
1ei3hzQmrgealgRKFxIcWn;03a359wbiUsjN9h6yzXvmS;1.000
1ei3hzQmrgealgRKFxIcWn;58HvfVOeJY7lUuCqF0m3ly;1.000
1ei3hzQmrgealgRKFxIcWn;7lQ8MOhq6IN2w8EYcFNSUk;1.000
1ei3hzQmrgealgRKFxIcWn;7w87IxuO7BDcJ3YUqCyMTT;1.000
1ei3hzQmrgealgRKFxIcWn;3B54sVLJ402zGa6Xm4YGNe;1.000
1ei3hzQmrgealgRKFxIcWn;3FAJ6O0NOHQV8Mc5Ri6ENp;1.000
1ei3hzQmrgealgRKFxIcWn;0qOnSQQF0yzuPWsXrQ9paz;1.000
1ei3hzQmrgealgRKFxIcWn;4LRPiXqCikLlN15c3yImP7;1.000
